skill,domain,difficulty,question_text_latex,source_directory
Linear equations in one variable,Algebra,Easy,Which of the following equations is equivalent to $4x + 8 = 20$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $12 = 9x - 5x$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $3x + 13 = 4$?,../psat
Linear equations in one variable,Algebra,Easy,"A taxi ride has a flat fee of $\$3.00, plus $\$0.50 per mile. If the total cost was $\$8.00, how many miles was the ride?",../psat
Linear equations in one variable,Algebra,Easy,What is the value of $p$ in the equation $50 = 100 - 5p$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $k$ is the solution to the equation $k - 9 = 9$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $\frac{x}{3} + 5 = 7$?,../psat
Linear equations in one variable,Algebra,Easy,The sum of two consecutive even integers is 30. What is the smaller integer?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $2(x - 6) = -10$?,../psat
Linear equations in one variable,Algebra,Easy,What value of $y$ is the solution to the equation $8y = 72$?,../psat
Linear equations in one variable,Algebra,Easy,What is the solution to the equation $10x = 7x + 9$?,../psat
Linear equations in one variable,Algebra,Easy,"Maria had 25 stickers. She gave some to her friend and had 11 left. How many stickers, $s$, did she give to her friend?",../psat
Linear equations in one variable,Algebra,Easy,What is the solution for $b$ in the equation $20 = 4b + 4$?,../psat
Linear equations in one variable,Algebra,Easy,"If $x + 5 = 15$, what is the value of $\frac{x}{2}$?",../psat
Linear equations in one variable,Algebra,Hard,"The equation $5(kx - 2) = 2(10x + 7)$ is given, where $k$ is a constant. If the equation has no solution, what is the value of $k$?",../psat
Linear equations in one variable,Algebra,Hard,"If $y$ is the solution to the equation $\frac{2y - 3}{4} - \frac{y - 5}{3} = 1$, what is the value of $2y + 1$?",../psat
Linear equations in one variable,Algebra,Hard,"The length of a rectangle is 5 cm less than twice its width. If the perimeter of the rectangle is 50 cm, what is the width, in cm?",../psat
Linear equations in one variable,Algebra,Hard,"$\frac{3}{4}(x-8) + 2x = a(x - \frac{24}{11})$. In the equation above, $a$ is a constant. If the equation has infinitely many solutions, what is the value of $a$?",../psat
Linear equations in one variable,Algebra,Hard,"A mobile phone plan costs $30 per month, which includes 2 gigabytes (GB) of data. There is an additional charge of $8 for each gigabyte of data used beyond the initial 2 GB. If a customer's bill for one month was $78, how many total gigabytes of data did they use?",../psat
Linear equations in one variable,Algebra,Hard,What value of $z$ is the solution to the equation $\frac{1}{2}(z - \frac{1}{3}(z-1)) = \frac{1}{4}(z+2)$?,../psat
Linear equations in one variable,Algebra,Hard,The equation $5(2k-3) - 7 = 8(k-1)$ is true for some value of $k$. What is the value of $k+2$?,../psat
Linear equations in one variable,Algebra,Hard,How many solutions does the equation $4(x-3) - x = 3(x-4)$ have?,../psat
Linear equations in one variable,Algebra,Hard,"A library has a total of 24 shelves. The shelves are used for fiction books, non-fiction books, and reference books. The number of shelves for fiction books is twice the number of shelves, $n$, for non-fiction books. There are 4 shelves for reference books. Which equation must be true for the value of $n$?",../psat
Linear equations in one variable,Algebra,Hard,"The formula for the surface area $A$ of a rectangular prism is $A = 2(lw + lh + wh)$, where $l$ is the length, $w$ is the width, and $h$ is the height. Which of the following correctly expresses the height, $h$, in terms of $A$, $l$, and $w$?",../psat
Linear equations in one variable,Algebra,Hard,"If $\frac{5}{x-3} = \frac{7}{x+1}$, what is the value of $x$?",../psat
Linear equations in one variable,Algebra,Hard,"To pass a course, a student needs an average of 70 or more on four exams. The student's scores on the first three exams are 65, 72, and 81. What is the minimum score the student must get on the fourth exam to pass the course?",../psat
Linear equations in one variable,Algebra,Hard,"$\frac{5x+b}{x+1} = 5$. The equation above is true for all values of $x > -1$, where $b$ is a constant. What is the value of $b$?",../psat
Linear equations in one variable,Algebra,Hard,"A company prints posters. The cost, C, in dollars, to print a batch of posters is given by the equation $C = 1.25p + 40$, where $p$ is the number of posters printed. A different company charges a cost given by $C = 1.50p + 25$. For what number of posters is the printing cost the same for both companies?",../psat
Linear equations in one variable,Algebra,Hard,"If $0.2(x-5) - 0.3(2x+1) = 0.9$, what is the value of $1 - 2x$?",../psat
Linear equations in one variable,Algebra,Hard,"$a x - 7 = 3(x + b)$. In the equation above, $a$ and $b$ are constants. Which of the following must be true for the equation to have no solution? \\ I. $a = 3$ \\ II. $b = -\frac{7}{3}$ \\ III. $b \neq -\frac{7}{3}$",../psat
Linear equations in one variable,Algebra,Hard,What is the solution $n$ to the equation $\frac{2n}{3} - \frac{n-5}{6} = \frac{3n+1}{2}$?,../psat
Linear equations in one variable,Algebra,Hard,A chemist has two solutions of hydrochloric acid. Solution A is 20% acid and Solution B is 50% acid. How many milliliters (mL) of Solution A must be mixed with 150 mL of Solution B to produce a solution that is 40% acid?,../psat
Linear equations in one variable,Algebra,Hard,How many solutions does the equation $\frac{1}{2}(4x+6) = 3(x-1)-x$ have?,../psat
Linear equations in one variable,Algebra,Hard,"If $3(x - a) + 2x = 5(x-6)$ has infinitely many solutions, what is the value of $a$?",../psat
Linear equations in one variable,Algebra,Hard,"A rectangular garden has a perimeter of 96 meters. Its length is 8 meters more than twice its width. What is the length of the garden, in meters?",../psat
Linear equations in one variable,Algebra,Hard,"For a certain value of the constant $b$, the equation $\frac{x-b}{2} - \frac{x+b}{3} = 1$ has the solution $x = 11$. What is the value of this constant $b$?",../psat
Linear equations in one variable,Algebra,Hard,"The equation $v^2 = v_0^2 + 2ad$ relates the final velocity $v$ of an object to its initial velocity $v_0$, its acceleration $a$, and the distance $d$ it has traveled. Which of the following expresses the acceleration $a$ in terms of the other variables?",../psat
Linear equations in one variable,Algebra,Hard,"$2(3-2(x-1)) = k(2-x) + 4$. In the given equation, $k$ is a constant. If the equation has no solution, what is the value of $k$?",../psat
Linear equations in one variable,Algebra,Hard,"A tub is being filled with water at a rate of 5.2 liters per minute. At the same time, water is draining from the tub at a rate of 1.9 liters per minute. The tub initially contains 28 liters of water and has a maximum capacity of 150 liters. To the nearest minute, how long will it take to fill the tub completely?",../psat
Linear equations in one variable,Algebra,Hard,"The formula for the area of a trapezoid is given by $A = \frac{1}{2}h(b_1+b_2)$, where $A$ is the area, $h$ is the height, and $b_1$ and $b_2$ are the lengths of the two bases. Which of the following correctly expresses the base $b_1$ in terms of $A$, $h$, and $b_2$?",../psat
Linear equations in one variable,Algebra,Hard,For what value of the constant $p$ does the equation $\frac{px-1}{3} = \frac{2x+1}{2} - \frac{x-1}{6}$ have no solution?,../psat
