test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Algebra,Linear functions,Easy,"$W = 200 + 5m$. The equation models the amount of water $W$, in liters, in a tank after $m$ minutes. Which of the following is the best interpretation of the number 5 in this context?",The tank started with 5 liters of water.,The tank is empty after 5 minutes.,Water is added to the tank at a rate of 5 liters per minute.,The tank can hold a maximum of 5 liters.,C,,The equation $W = 200 + 5m$ is a linear model where $W$ is the amount of water and $m$ is the time in minutes.,"This equation is in the form $y = b+mx$, where $b$ is the initial amount and $m$ is the rate of change.",The number 200 is the initial amount of water in the tank at $m=0$.,"The number 5 is the coefficient of $m$, the variable for time. This means 5 is the rate at which the amount of water changes per minute.","Since the sign is positive, the amount of water is increasing.","Therefore, the best interpretation of 5 is that water is added to the tank at a rate of 5 liters per minute. This corresponds to choice C."
Math,Algebra,Linear functions,Easy,"The function $f$ is defined by $f(x) = x + c$, where $c$ is a constant. If $f(8) = 15$, what is the value of $c$?",,,,,7,7,We are given the function $f(x) = x + c$ and the condition $f(8) = 15$.,Substitute $x=8$ and $f(8)=15$ into the function's equation.,$15 = 8 + c$,"To solve for the constant $c$, subtract 8 from both sides of the equation.",$c = 15 - 8$,$c = 7$. The value of the constant $c$ is 7.
Math,Algebra,Linear functions,Easy,"The temperature in Fahrenheit, $F$, is 32 more than $\frac{9}{5}$ times the temperature in Celsius, $C$. Which equation correctly represents this relationship?",$F = C + 32$,$F = \frac{9}{5}C$,$F = \frac{9}{5}C + 32$,$F = \frac{9}{5}(C+32)$,C,,The problem asks to translate a sentence into a mathematical equation.,"Let's break down the sentence. '$\frac{9}{5}$ times the temperature in Celsius, $C$' translates to the expression $\frac{9}{5}C$.",The phrase '32 more than' means we need to add 32 to that expression.,"So, we add 32 to $\frac{9}{5}C$, which gives $\frac{9}{5}C + 32$.","The temperature in Fahrenheit, $F$, is equal to this expression. So, $F = \frac{9}{5}C + 32$.",This matches choice C. Choice D incorrectly multiplies $\frac{9}{5}$ by the sum $C+32$.
Math,Algebra,Linear functions,Easy,The function $f$ is defined as $f(x) = \frac{1}{2}x + 3$. What is the value of $f(10)$?,,,,,8,8,"To find the value of $f(10)$, substitute $10$ for $x$ in the function definition $f(x) = \frac{1}{2}x + 3$.",$f(10) = \frac{1}{2}(10) + 3$,"First, perform the multiplication: $\frac{1}{2}(10) = 5$.","Next, perform the addition: $5 + 3 = 8$.","Thus, the value of $f(10)$ is $8$.",
Math,Algebra,Linear functions,Easy,The function $f$ is defined as $f(x) = \frac{1}{3}x$. For what value of $x$ does $f(x) = 6$?,$2$,$3$,$9$,$18$,D,,We are given the equation $f(x) = \frac{1}{3}x$ and we are looking for the value of $x$ when $f(x) = 6$.,Set the expression for $f(x)$ equal to 6: $\frac{1}{3}x = 6$.,"To solve for $x$, we need to isolate it. We can do this by multiplying both sides of the equation by 3.",$3 \times (\frac{1}{3}x) = 6 \times 3$,$x = 18$.,The value of $x$ is 18. This is choice D. Choice A is the result of dividing 6 by 3.
Math,Algebra,Linear functions,Easy,"$p(t) = 30 + 2t$. A plant's height $p$, in centimeters, is modeled by this function, where $t$ is the number of weeks after it was purchased. What is the meaning of the number 30 in the function?",The plant grows 30 cm per week.,The plant was 30 cm tall when purchased.,The plant reaches a height of 30 cm after 2 weeks.,The maximum height of the plant is 30 cm.,B,,The function $p(t) = 30 + 2t$ is a linear model for the plant's height.,The variable $t$ represents the number of weeks after purchase. The time of purchase corresponds to $t=0$.,"In a linear function of the form $y = b+mt$, the constant $b$ represents the initial value, or the value when the independent variable is zero.","To find the initial height, we can substitute $t=0$ into the function: $p(0) = 30 + 2(0) = 30$.","This means that at week 0 (the time of purchase), the plant's height was 30 cm.","Therefore, the number 30 represents the height of the plant when it was purchased. This matches choice B."
Math,Algebra,Linear functions,Easy,"A taxi fare is calculated by the function $F(d) = 2.50 + 1.50d$, where $F(d)$ is the total fare in dollars for a ride of $d$ miles. What is the fare for a 4-mile ride?",,,,,8.50,8.50,"The function for the taxi fare is $F(d) = 2.50 + 1.50d$, where $d$ is the number of miles.","To find the fare for a 4-mile ride, we need to calculate the value of $F(4)$.",Substitute $d=4$ into the function: $F(4) = 2.50 + 1.50(4)$.,"First, calculate the multiplication: $1.50 \times 4 = 6.00$.","Then, perform the addition: $F(4) = 2.50 + 6.00 = 8.50$.",The fare for a 4-mile ride is $\$8.50.
Math,Algebra,Linear functions,Easy,The function $f$ is defined by $f(x) = 6x + 2$. What is the value of $f(5)$?,,,,,32,32,"To find the value of $f(5)$, substitute $5$ for $x$ in the function definition $f(x) = 6x + 2$.",$f(5) = 6(5) + 2$,"First, perform the multiplication: $6(5) = 30$.","Next, perform the addition: $30 + 2 = 32$.","Thus, the value of $f(5)$ is $32$.",
Math,Algebra,Linear functions,Easy,The function $g$ is defined by $g(t) = 20 - 4t$. What is the value of $g(2)$?,$12$,$8$,$28$,$32$,A,,"To find the value of $g(2)$, we substitute $t=2$ into the function $g(t) = 20 - 4t$.",$g(2) = 20 - 4(2)$,"Following the order of operations, we first multiply: $4(2) = 8$.","Then, we perform the subtraction: $20 - 8 = 12$.","So, the value of $g(2)$ is $12$. This corresponds to choice A. Choice B is the result of the multiplication only. Choice C is the result of adding instead of subtracting ($20+8$). Choice D is the result of an order of operations error, $(20-4) \times 2 = 32$.",
Math,Algebra,Linear functions,Easy,The function $C$ is defined by $C(n) = 3n + 11$. What is the value of $C(6)$?,,,,,29,29,"To find the value of $C(6)$, substitute $6$ for $n$ in the function definition $C(n) = 3n + 11$.",$C(6) = 3(6) + 11$,"First, perform the multiplication: $3(6) = 18$.","Next, perform the addition: $18 + 11 = 29$.","Thus, the value of $C(6)$ is $29$.",
Math,Algebra,Linear functions,Easy,The function $h$ is defined by $h(x) = -2x + 15$. What is the value of $h(4)$?,$23$,$7$,$-23$,$13$,B,,"To find the value of $h(4)$, substitute $4$ for $x$ in the function $h(x) = -2x + 15$.",$h(4) = -2(4) + 15$,"First, perform the multiplication: $-2(4) = -8$.","Next, perform the addition: $-8 + 15 = 7$.",The value of $h(4)$ is $7$. This is choice B. Choice A results from a sign error on the multiplication ($8+15=23$). Choice C results from a sign error on the addition ($-8 - 15 = -23$). Choice D is the value of $h(1)$.,
Math,Algebra,Linear functions,Easy,The function $p$ is defined by $p(x) = 9x - 7$. What is the value of $p(3)$?,,,,,20,20,"To find the value of $p(3)$, substitute $3$ for $x$ in the function $p(x) = 9x - 7$.",$p(3) = 9(3) - 7$,"First, perform the multiplication: $9(3) = 27$.","Next, perform the subtraction: $27 - 7 = 20$.",The value of $p(3)$ is $20$.,
Math,Algebra,Linear functions,Easy,The function $f$ is defined by $f(x) = 2x + 5$. For what value of $x$ does $f(x) = 19$?,,,,,7,7,We are given the function $f(x) = 2x + 5$ and the condition $f(x) = 19$.,Set the expression for $f(x)$ equal to $19$: $2x + 5 = 19$.,"To solve for $x$, first subtract 5 from both sides of the equation: $2x = 19 - 5$.",$2x = 14$.,"Now, divide both sides by 2: $x = \frac{14}{2} = 7$.",The value of $x$ is 7.
Math,Algebra,Linear functions,Easy,The function $g$ is defined by $g(x) = 4x - 1$. For what value of $x$ does $g(x) = 27$?,$6.5$,$107$,$7$,$28$,C,,We need to find the value of $x$ for which $g(x)$ equals 27.,Set the function's expression equal to 27: $4x - 1 = 27$.,"To solve for $x$, first add 1 to both sides of the equation: $4x = 27 + 1$.",$4x = 28$.,"Next, divide both sides by 4: $x = \frac{28}{4} = 7$.","The value of $x$ is 7, which is choice C. Choice B is the result of evaluating $g(27)$."
Math,Algebra,Linear functions,Easy,"$h(t) = 100 - 10t$. The function gives the amount of fuel $h$, in gallons, in a tank after $t$ hours. For what value of $t$ is the amount of fuel 50 gallons?",,,,,5,5,We are given the function $h(t) = 100 - 10t$ and need to find the value of $t$ when $h(t) = 50$.,Set the expression for $h(t)$ equal to 50: $100 - 10t = 50$.,"To solve for $t$, first subtract 100 from both sides: $-10t = 50 - 100$.",$-10t = -50$.,"Now, divide both sides by -10: $t = \frac{-50}{-10} = 5$.",The tank has 50 gallons of fuel after 5 hours.
Math,Algebra,Linear functions,Easy,The function $f$ is defined by $f(x) = 7x$. For what value of $x$ is $f(x) = 63$?,$9$,$56$,$70$,$441$,A,,We are given the function $f(x) = 7x$ and we need to find the value of $x$ when $f(x) = 63$.,Set the expression for $f(x)$ equal to 63: $7x = 63$.,"To solve for $x$, divide both sides of the equation by 7.",$x = \frac{63}{7} = 9$.,The value of $x$ is 9. This is choice A. Choice B is $63-7$. Choice D is $63 \times 7$.,
Math,Algebra,Linear functions,Easy,The function $f$ is defined by $f(x) = \frac{x}{4} + 1$. For what value of $x$ does $f(x)=5$?,,,,,16,16,We are given $f(x) = \frac{x}{4} + 1$ and we want to find $x$ when $f(x) = 5$.,Set the expression for $f(x)$ equal to 5: $\frac{x}{4} + 1 = 5$.,Subtract 1 from both sides of the equation: $\frac{x}{4} = 5 - 1$.,$\frac{x}{4} = 4$.,Multiply both sides by 4 to solve for $x$: $x = 4 \times 4 = 16$.,The value of $x$ is 16.
Math,Algebra,Linear functions,Easy,"$C = 40 + 0.20m$. The equation gives the total cost $C$, in dollars, to rent a car and drive it for $m$ miles. Which of the following is the best interpretation of the number 0.20 in this context?",The initial cost to rent the car is $\$0.20.,The total cost of the rental is $\$0.20.,The cost per mile is $\$0.20.,The car can be driven a maximum of 0.20 miles.,C,,The equation $C = 40 + 0.20m$ is a linear model for the total cost $C$ based on the number of miles $m$.,"The term $40$ is a constant, representing the initial, fixed fee for renting the car.",The term $0.20m$ represents a cost that depends on the number of miles driven. The number 0.20 is the coefficient of $m$.,"In a linear function, the coefficient of the variable represents the rate of change.","Therefore, 0.20 represents the cost for each mile driven, or a rate of $\$0.20 per mile. This corresponds to choice C.",
Math,Algebra,Linear functions,Easy,"$W = 500 - 10t$. The equation models the amount of water $W$, in liters, remaining in a tank after it has been draining for $t$ minutes. Which of the following is the best interpretation of the number 10 in this context?",The tank is empty after 10 minutes.,The tank initially contained 10 liters of water.,The amount of water in the tank decreases by 10 liters each minute.,The amount of water in the tank increases by 10 liters each minute.,C,,The equation $W = 500 - 10t$ is a linear model.,"The variable $W$ is the amount of water, and $t$ is the time in minutes.",The coefficient of $t$ is $-10$. This represents the rate of change of water in the tank per minute.,The negative sign indicates that the amount of water is decreasing.,"Therefore, the number 10 in this context means that the amount of water decreases by 10 liters for every minute that passes. This corresponds to choice C.",
Math,Algebra,Linear functions,Easy,"A gym membership costs are modeled by the function $C(m) = 25m + 50$, where $C(m)$ is the total cost for $m$ months. Which of the following is the best interpretation of the number 25 in this model?",The one-time sign-up fee is $\$25.,The total cost for the first month is $\$25.,The cost per month is $\$25.,A member can attend the gym 25 times per month.,C,,The given function is a linear model $C(m) = 25m + 50$.,"In this model, the variable $m$ represents the number of months.","The number 25 is the coefficient of $m$. In a linear function, the coefficient of the independent variable is the rate of change.","Therefore, 25 represents the cost that is charged for each month of membership.",The best interpretation is that the cost per month is $\$25. This matches choice C. The number 50 represents the one-time sign-up fee.,
Math,Algebra,Linear functions,Easy,"A mobile phone plan is modeled by the equation $C = 15m + 25$, where $C$ is the total cost in dollars for $m$ months. What is the best interpretation of the number 25 in this context?",The cost per month is $\$25.,The total cost for the plan is $\$25.,The plan lasts for 25 months.,There is a one-time fee of $\$25.,D,,The equation $C = 15m + 25$ is a linear model in the form $y = mx+b$.,"In this equation, the total cost $C$ depends on the number of months $m$.",The term $15m$ represents the part of the cost that changes with the number of months. The number 15 is the monthly cost.,"The number 25 is the constant term, or the y-intercept. This represents a fixed cost that does not depend on the number of months.","In this context, a fixed cost is best interpreted as a one-time fee, such as an activation or setup fee.","Therefore, the best interpretation of 25 is a one-time fee of $\$25. This matches choice D."
Math,Algebra,Linear functions,Easy,"During a warm day, the depth of a snowpack is modeled by the function $S(h) = 40 - 2h$, where $S(h)$ is the depth in centimeters and $h$ is the number of hours since sunrise. What does the number 40 represent in this function?",The snow melts completely in 40 hours.,The snow depth was 40 cm at sunrise.,The snow depth decreases by 40 cm per hour.,The final snow depth is 40 cm.,B,,The function $S(h) = 40 - 2h$ is a linear model for the snow depth.,The variable $h$ represents the hours since sunrise. The moment of sunrise corresponds to $h=0$.,"In a linear function, the constant term (the y-intercept) represents the initial value, which is the value when the independent variable is zero.","To find the initial snow depth, we can substitute $h=0$ into the function: $S(0) = 40 - 2(0) = 40$.","This means that at hour 0 (sunrise), the snow depth was 40 cm.","Therefore, the number 40 represents the initial depth of the snow at sunrise. This matches choice B."
Math,Algebra,Linear functions,Easy,"The cost to rent a conference hall is a $\$100 flat fee plus $\$15 for each person attending. Which equation represents the total cost, $c$, for $p$ people to attend?",$c = 100p + 15$,$c = 15p + 100$,$c = 115p$,$c = 15p - 100$,B,,The total cost is composed of a variable cost and a fixed fee.,"The variable cost depends on the number of people, $p$. Since it costs $\$15 for each person, the variable cost is $15p$.","The fixed fee is a flat amount of $\$100, regardless of the number of people. This is a constant term.","The total cost, $c$, is the sum of the variable cost and the fixed fee: $c = 15p + 100$.",This matches choice B. Choice A incorrectly swaps the rate and the fixed fee. Choice C incorrectly combines the costs into a single rate. Choice D incorrectly subtracts the fee.,
Math,Algebra,Linear functions,Easy,"A sapling is 2 feet tall when it is planted. It grows at a rate of 0.5 feet per year. Which equation gives the height, $h$, of the sapling after $y$ years?",$h = 2y + 0.5$,$h = 2.5y$,$h = 0.5y + 2$,$h = 2 - 0.5y$,C,,The problem describes a linear relationship between the height $h$ and the number of years $y$.,"The initial height of the sapling is 2 feet. This is the starting value, or the y-intercept of the linear function.","The sapling 'grows at a rate of 0.5 feet per year'. This describes the rate of change, or the slope. The slope is 0.5.","The general form of a linear equation is $y = mx + b$, where $m$ is the slope and $b$ is the y-intercept. In this problem, the variables are $h$ and $y$.",Substituting the values we found: $h = 0.5y + 2$.,This matches choice C.
Math,Algebra,Linear functions,Easy,"Jamal opens a savings account with an initial deposit of $\$100. He then deposits $\$20 each week. Which equation represents the balance, $B$, in his account after $w$ weeks?",$B = 100w + 20$,$B = 120w$,$B = 20w$,$B = 20w + 100$,D,,The total balance $B$ is the sum of the initial deposit and the total amount saved over the weeks.,The initial deposit is a fixed amount of $\$100. This is the constant term in the linear model.,"The amount saved depends on the number of weeks, $w$. Since Jamal deposits $\$20 each week, the amount saved after $w$ weeks is $20w$.","To find the total balance, we add the initial deposit to the weekly savings: $B = 20w + 100$.",This equation matches choice D.,
Math,Algebra,Linear functions,Easy,"A library charges a fixed fine of $\$0.50 for an overdue book, plus an additional $\$0.25 for each day it is late. Which equation represents the total fine, $F$, in dollars, for a book that is $d$ days late?",$F = 0.50d + 0.25$,$F = 0.75d$,$F = 0.25d + 0.50$,$F = 0.25d$,C,,The total fine is composed of a fixed part and a part that depends on the number of late days.,The fixed fine is $\$0.50. This is the constant term.,"The fine per day is $\$0.25. For $d$ days, this amounts to $0.25d$. This is the variable term.",The total fine $F$ is the sum of these two parts: $F = 0.25d + 0.50$.,This corresponds to choice C.,
Math,Algebra,Linear functions,Easy,"A video game player starts with 50 points and earns 100 points for each level completed. Which equation shows the player's total score, $S$, after completing $L$ levels?",$S = 50L + 100$,$S = 150L$,$S = 100L + 50$,$S = 100L$,C,,The total score $S$ is made up of a starting score and the points earned from levels.,The starting score is 50 points. This is a constant value.,"The points earned depend on the number of levels, $L$. Since the player earns 100 points per level, the points from levels is $100L$.",The total score is the sum of the starting score and the points from levels: $S = 100L + 50$.,This equation matches choice C.,
Math,Algebra,Linear functions,Easy,"The function $f$ is defined as $f(x) = 3x + b$, where $b$ is a constant. If $f(2) = 10$, what is the value of $b$?",,,,,4,4,We are given the function $f(x) = 3x + b$ and the condition $f(2) = 10$.,Substitute $x=2$ and $f(2)=10$ into the function's equation.,$10 = 3(2) + b$,"First, calculate the product: $3(2) = 6$.",The equation becomes $10 = 6 + b$.,"To solve for $b$, subtract 6 from both sides: $b = 10 - 6 = 4$. The value of $b$ is 4."
Math,Algebra,Linear functions,Easy,"The function $g$ is defined by $g(x) = mx + 5$, where $m$ is a constant. If $g(3) = 14$, what is the value of $m$?",$9$,$3$,$19$,$6$,B,,We are given the function $g(x) = mx + 5$ and the known point $g(3) = 14$.,Substitute $x=3$ and $g(3)=14$ into the equation: $14 = m(3) + 5$.,"To solve for $m$, first subtract 5 from both sides of the equation: $14 - 5 = 3m$.",$9 = 3m$.,"Now, divide both sides by 3: $m = \frac{9}{3} = 3$.","The value of $m$ is 3, which corresponds to choice B."
Math,Algebra,Linear functions,Easy,"The function $h$ is defined by $h(t) = -5t + b$, where $b$ is a constant. If $h(4) = 0$, what is the value of $b$?",,,,,20,20,The function definition is $h(t) = -5t + b$. We are given that $h(4) = 0$.,Substitute $t=4$ and $h(4)=0$ into the equation: $0 = -5(4) + b$.,Calculate the product: $-5(4) = -20$.,The equation simplifies to $0 = -20 + b$.,"To solve for $b$, add 20 to both sides of the equation: $b = 20$.",The value of the constant $b$ is 20.
Math,Algebra,Linear functions,Easy,"The function $f$ is defined as $f(x) = mx - 7$, where $m$ is a constant. If $f(6) = 11$, what is the value of $m$?",$18$,$4$,$3$,$1$,C,,We are given the function $f(x) = mx - 7$ and the condition $f(6) = 11$.,Substitute $x=6$ and $f(6)=11$ into the function's equation: $11 = m(6) - 7$.,"To isolate the term with $m$, add 7 to both sides of the equation: $11 + 7 = 6m$.",$18 = 6m$.,"Now, divide both sides by 6 to solve for $m$: $m = \frac{18}{6} = 3$.","The value of $m$ is 3, which is choice C."
