test,domain,skill,difficulty,question_text_latex,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Advanced Math,Nonlinear functions,Easy,"For the function $f$ defined by $f(x) = x^2 - 11$, what is the value of $f(-4)$?",$-27$,$-5$,$5$,$27$,C,,The function is defined as $f(x) = x^2 - 11$. We need to find the value of $f(-4)$.,Substitute $x=-4$ into the function: $f(-4) = (-4)^2 - 11$.,Evaluate the exponent. Note that squaring a negative number results in a positive number: $(-4)^2 = (-4) \times (-4) = 16$.,The expression becomes $f(-4) = 16 - 11$.,"Perform the subtraction: $16 - 11 = 5$. Therefore, $f(-4) = 5$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $g$ is defined by $g(x) = x^2 + 5$. For which positive value of $x$ is $g(x) = 30$?,$5$,$6$,$25$,$35$,A,,The function is defined as $g(x) = x^2 + 5$. We are given that $g(x) = 30$.,Set the expression for $g(x)$ equal to 30: $x^2 + 5 = 30$.,"To solve for $x$, first isolate the $x^2$ term by subtracting 5 from both sides of the equation: $x^2 = 30 - 5$.",Simplify the right side: $x^2 = 25$.,Take the square root of both sides to find $x$: $x = \pm \sqrt{25}$.,"This gives two possible solutions, $x=5$ and $x=-5$. The question asks for the positive value of $x$, which is 5."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = \sqrt{x} - 2$. For which value of $x$ is $f(x) = 7$?,$9$,$25$,$49$,$81$,D,,The function is defined as $f(x) = \sqrt{x} - 2$. We are given that $f(x) = 7$.,Set the expression for $f(x)$ equal to 7: $\sqrt{x} - 2 = 7$.,"To solve for $x$, first isolate the $\sqrt{x}$ term by adding 2 to both sides of the equation: $\sqrt{x} = 7 + 2$.",Simplify the right side: $\sqrt{x} = 9$.,"To find $x$, square both sides of the equation: $(\sqrt{x})^2 = 9^2$.",Simplify both sides: $x = 81$. So the value of $x$ is 81.
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x)=x^3 + 1$. For which value of $x$ is $f(x)=9$?,$2$,$3$,$8$,$10$,A,,The function is defined as $f(x)=x^3+1$. We are given that $f(x)=9$.,Set the expression for $f(x)$ equal to 9: $x^3 + 1 = 9$.,"To solve for $x$, first isolate the $x^3$ term by subtracting 1 from both sides of the equation: $x^3 = 9 - 1$.",Simplify the right side: $x^3 = 8$.,"To find $x$, take the cube root of both sides: $x = \sqrt[3${8}$.","The cube root of 8 is 2, since $2 \times 2 \times 2 = 8$. Therefore, $x=2$."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 2x^3$. What is the value of $f(10)$?,$60$,$200$,$2_000$,$8_000$,C,,The function is defined as $f(x) = 2x^3$. We need to find the value of $f(10)$.,Substitute $x=10$ into the function: $f(10) = 2(10)^3$.,"According to the order of operations, evaluate the exponent first: $10^3 = 10 \times 10 \times 10 = 1_000$.",The expression becomes $f(10) = 2(1_000)$.,"Perform the multiplication: $2 \times 1_000 = 2_000$. Therefore, $f(10) = 2_000$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $m$ is defined by $m(x)= |x| - 5$. What is the value of $m(-12)$?,$-17$,$-7$,$7$,$17$,C,,The function is defined as $m(x)= |x| - 5$. We need to find the value of $m(-12)$.,Substitute $x = -12$ into the function: $m(-12) = |-12| - 5$.,Evaluate the absolute value: $|-12| = 12$.,The expression becomes $m(-12) = 12 - 5$.,"Perform the subtraction: $12 - 5 = 7$. Therefore, $m(-12) = 7$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 4 - x^2$. What is the value of $f(0)$?,$0$,$2$,$4$,$16$,C,,The function is defined as $f(x) = 4 - x^2$. We need to find the value of $f(0)$.,Substitute $x=0$ into the function's definition: $f(0) = 4 - (0)^2$.,Evaluate the exponent: $0^2 = 0$.,The expression becomes $f(0) = 4 - 0$.,"Perform the subtraction: $4 - 0 = 4$. Therefore, $f(0) = 4$. This is the y-intercept of the function's graph.",
Math,Advanced Math,Nonlinear functions,Easy,The function $h$ is defined by $h(x) = (x+5)^2 - 10$. What is the value of $h(5)$?,$0$,$15$,$90$,$100$,C,,The function is defined as $h(x) = (x+5)^2 - 10$. We need to find the value of $h(5)$.,Substitute $x=5$ into the function: $h(5) = (5+5)^2 - 10$.,Perform the addition inside the parentheses: $5+5=10$.,The expression becomes $h(5) = (10)^2 - 10$.,Evaluate the exponent: $10^2 = 100$.,"The expression is now $h(5) = 100 - 10$. Perform the subtraction: $100 - 10 = 90$. Therefore, $h(5)=90$."
Math,Advanced Math,Nonlinear functions,Easy,The function $g$ is defined by $g(x)=\frac{1}{2}x^2$. What is the value of $g(8)$?,$8$,$16$,$32$,$64$,C,,The function is defined as $g(x)=\frac{1}{2}x^2$. We need to find the value of $g(8)$.,Substitute $x=8$ into the function: $g(8) = \frac{1}{2}(8)^2$.,"According to the order of operations, evaluate the exponent first: $8^2 = 64$.",The expression becomes $g(8) = \frac{1}{2}(64)$.,"Perform the multiplication: $\frac{1}{2} \times 64 = 32$. Therefore, $g(8)=32$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 2\sqrt{x} + 3$. What is the value of $f(49)$?,$10$,$17$,$20$,$101$,B,,The function is defined as $f(x) = 2\sqrt{x} + 3$. We need to find the value of $f(49)$.,Substitute $x=49$ into the function: $f(49) = 2\sqrt{49} + 3$.,Evaluate the square root: $\sqrt{49} = 7$.,The expression becomes $f(49) = 2(7) + 3$.,Perform the multiplication: $2(7) = 14$. The expression is now $f(49) = 14 + 3$.,"Perform the addition: $14+3=17$. Therefore, $f(49)=17$."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 1 - x^3$. What is the value of $f(-2)$?,$-7$,$-5$,$7$,$9$,D,,The function is defined as $f(x) = 1 - x^3$. We need to find the value of $f(-2)$.,Substitute $x = -2$ into the function: $f(-2) = 1 - (-2)^3$.,Evaluate the exponent: $(-2)^3 = (-2) \times (-2) \times (-2) = -8$.,The expression becomes $f(-2) = 1 - (-8)$.,Subtracting a negative number is equivalent to adding its positive counterpart: $1 - (-8) = 1 + 8$.,"Perform the addition: $1+8=9$. Therefore, $f(-2)=9$."
Math,Advanced Math,Nonlinear functions,Easy,The table shown includes some values for the function $f$. \\ \begin{tabular}{|c|c|} \hline $x$ & $f(x)$ \\ \hline 0 & 1 \\ \hline 1 & 2 \\ \hline 2 & 4 \\ \hline 3 & 8 \\ \hline \end{tabular} \\ Which of the following defines $f$?,$f(x) = x+1$,$f(x) = x^2+1$,$f(x) = 2x$,$f(x) = 2^x$,D,,We need to find a function definition that matches the input-output pairs in the table.,"Let's test the pair $(x=2, f(x)=4)$ with each option. 
Option A: $f(2) = 2+1 = 3 \neq 4$. Incorrect. 
Option B: $f(2) = 2^2+1 = 4+1 = 5 \neq 4$. Incorrect. 
Option C: $f(2) = 2(2) = 4$. This works. 
Option D: $f(2) = 2^2 = 4$. This also works.","Since both C and D work for $x=2$, we must test another point, for example $(x=3, f(x)=8)$.",Test Option C: $f(3) = 2(3) = 6 \neq 8$. Incorrect.,Test Option D: $f(3) = 2^3 = 8$. This works.,"Let's check the other points for Option D: $f(0) = 2^0 = 1$ (Correct) and $f(1) = 2^1 = 2$ (Correct). Therefore, $f(x)=2^x$ is the correct function."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(w) = w(10-w)$. What is the value of $f(4)$?,$14$,$24$,$36$,$40$,B,,The function is defined as $f(w) = w(10-w)$. We need to find the value of $f(4)$.,Substitute $w=4$ into the function: $f(4) = 4(10-4)$.,"First, evaluate the expression inside the parentheses: $10-4=6$.",The expression becomes $f(4) = 4(6)$.,"Perform the multiplication: $4 \times 6 = 24$. Therefore, $f(4)=24$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $p$ is defined by $p(x) = (x+1)(x-1)$. What is the value of $p(10)$?,$19$,$81$,$99$,$120$,C,,The function is defined as $p(x) = (x+1)(x-1)$. We need to find the value of $p(10)$.,Substitute $x=10$ into the function: $p(10) = (10+1)(10-1)$.,Evaluate the expressions in each parenthesis: $(10+1) = 11$ and $(10-1) = 9$.,The expression becomes $p(10) = (11)(9)$.,"Perform the multiplication: $11 \times 9 = 99$. Therefore, $p(10)=99$.","Alternatively, one could recognize that $(x+1)(x-1)$ is a difference of squares, $x^2-1$. Then $p(10) = 10^2 - 1 = 100 - 1 = 99$."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = \frac{60}{x+10}$. What is the value of $f(20)$?,$2$,$3$,$6$,$30$,A,,The function is defined as $f(x) = \frac{60}{x+10}$. We need to find the value of $f(20)$.,Substitute $x=20$ into the function: $f(20) = \frac{60}{20+10}$.,Perform the addition in the denominator: $20+10=30$.,The expression becomes $f(20) = \frac{60}{30}$.,"Perform the division: $60 \div 30 = 2$. Therefore, $f(20)=2$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 3x^2 - 1$. What is the value of $f(4)$?,$23$,$47$,$143$,$11$,B,,The function is defined as $f(x) = 3x^2 - 1$. We need to find the value of $f(4)$.,Substitute $x=4$ into the function's definition: $f(4) = 3(4)^2 - 1$.,"According to the order of operations, evaluate the exponent first: $4^2 = 16$.",The expression becomes $f(4) = 3(16) - 1$.,Perform the multiplication: $3(16) = 48$. The expression is now $f(4) = 48 - 1$.,"Perform the subtraction: $48 - 1 = 47$. Therefore, $f(4) = 47$."
Math,Advanced Math,Nonlinear functions,Easy,The function $g$ is defined by $g(x) = x^3 + 5$. What is the value of $g(4)$?,$17$,$64$,$69$,$125$,C,,The function is defined as $g(x) = x^3 + 5$. We need to find the value of $g(4)$.,Substitute $x=4$ into the function's definition: $g(4) = (4)^3 + 5$.,Evaluate the exponent: $4^3 = 4 \times 4 \times 4 = 64$.,The expression becomes $g(4) = 64 + 5$.,"Perform the addition: $64 + 5 = 69$. Therefore, $g(4) = 69$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $h$ is defined by $h(x) = \sqrt{x+7}$. What is the value of $h(9)$?,$3$,$4$,$10$,$16$,B,,The function is defined as $h(x) = \sqrt{x+7}$. We need to find the value of $h(9)$.,Substitute $x=9$ into the function: $h(9) = \sqrt{9+7}$.,"First, perform the addition inside the square root: $9 + 7 = 16$.",The expression becomes $h(9) = \sqrt{16}$.,"Calculate the square root: $\sqrt{16} = 4$. Therefore, $h(9) = 4$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = |x - 15|$. What is the value of $f(8)$?,$-23$,$-7$,$7$,$23$,C,,The function is defined as $f(x) = |x - 15|$. We need to find the value of $f(8)$.,Substitute $x=8$ into the function: $f(8) = |8 - 15|$.,Perform the subtraction inside the absolute value bars: $8 - 15 = -7$.,The expression becomes $f(8) = |-7|$.,"The absolute value of a number is its distance from zero, which is always non-negative. $|-7| = 7$.","Therefore, $f(8) = 7$."
Math,Advanced Math,Nonlinear functions,Easy,The function $p$ is defined by $p(t) = 5^t$. What is the value of $p(3)$?,$15$,$25$,$125$,$243$,C,,The function is defined as $p(t) = 5^t$. We need to find the value of $p(3)$.,Substitute $t=3$ into the function: $p(3) = 5^3$.,Evaluate the exponent: $5^3 = 5 \times 5 \times 5 = 125$.,"Therefore, $p(3) = 125$.",,
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = x^2 - 4$. For which positive value of $x$ is $f(x) = 21$?,$4$,$5$,$17$,$25$,B,,The function is defined as $f(x) = x^2 - 4$. We are given that $f(x) = 21$.,Set the expression for $f(x)$ equal to 21: $x^2 - 4 = 21$.,"To solve for $x$, isolate the $x^2$ term by adding 4 to both sides of the equation: $x^2 = 21 + 4$.",Simplify the right side: $x^2 = 25$.,"Take the square root of both sides to find $x$: $x = \pm \sqrt{25}$, which gives $x=5$ or $x=-5$.","The question asks for the positive value of $x$, which is 5."
Math,Advanced Math,Nonlinear functions,Easy,The function $g$ is defined by $g(x) = x^3 + 10$. For which value of $x$ is $g(x) = 37$?,$3$,$9$,$27$,$47$,A,,The function is defined as $g(x) = x^3 + 10$. We are given that $g(x) = 37$.,Set the expression for $g(x)$ equal to 37: $x^3 + 10 = 37$.,"To solve for $x$, isolate the $x^3$ term by subtracting 10 from both sides: $x^3 = 37 - 10$.",Simplify the right side: $x^3 = 27$.,"To find $x$, take the cube root of both sides: $x = \sqrt[3${27}$.","The cube root of 27 is 3, since $3 \times 3 \times 3 = 27$. Therefore, $x=3$."
Math,Advanced Math,Nonlinear functions,Easy,The function $h$ is defined by $h(x) = \sqrt{x-5}$. For which value of $x$ is $h(x) = 4$?,$9$,$11$,$16$,$21$,D,,The function is defined as $h(x) = \sqrt{x-5}$. We are given that $h(x) = 4$.,Set the expression for $h(x)$ equal to 4: $\sqrt{x-5} = 4$.,"To isolate the term with $x$, square both sides of the equation: $(\sqrt{x-5})^2 = 4^2$.",Simplify both sides: $x - 5 = 16$.,"To solve for $x$, add 5 to both sides of the equation: $x = 16 + 5$.","Simplify the right side: $x = 21$. Therefore, the value of $x$ is 21."
Math,Advanced Math,Nonlinear functions,Easy,The table shown includes some values for the function $f$. \\ \begin{tabular}{|c|c|} \hline $x$ & $f(x)$ \\ \hline 0 & -1 \\ \hline 1 & 0 \\ \hline 2 & 3 \\ \hline 3 & 8 \\ \hline \end{tabular} \\ Which of the following defines $f$?,$f(x) = x-1$,$f(x) = x^2-1$,$f(x) = 2x-1$,$f(x) = x+1$,B,,We need to find a function definition that matches the input-output pairs in the table.,"Let's test the pair $(x=2, f(x)=3)$ with each option. 
Option A: $f(2) = 2-1 = 1 \neq 3$. Incorrect. 
Option B: $f(2) = 2^2-1 = 4-1 = 3$. This works. 
Option C: $f(2) = 2(2)-1 = 4-1 = 3$. This also works. 
Option D: $f(2) = 2+1 = 3$. This also works.","Since options B, C, and D work for $x=2$, we must test another point, for example $(x=3, f(x)=8)$.",Test Option B: $f(3) = 3^2-1 = 9-1 = 8$. This works.,Test Option C: $f(3) = 2(3)-1 = 6-1 = 5 \neq 8$. Incorrect.,"Test Option D: $f(3) = 3+1 = 4 \neq 8$. Incorrect. Therefore, $f(x)=x^2-1$ is the correct function."
Math,Advanced Math,Nonlinear functions,Easy,"The graph of $y = x^2 + 3x - 5$ in the xy-plane intersects the y-axis at the point $(0, k)$. What is the value of $k$?",$-5$,$0$,$3$,$5$,A,,The y-intercept of a graph is the point where it crosses the y-axis.,"At any point on the y-axis, the x-coordinate is 0.","To find the y-intercept, we need to find the value of y when $x=0$.",Substitute $x=0$ into the equation $y = x^2 + 3x - 5$: $y = (0)^2 + 3(0) - 5$.,"Simplify the expression: $y = 0 + 0 - 5$, which gives $y = -5$.","The point of intersection is $(0, -5)$. Since the point is given as $(0, k)$, the value of $k$ is $-5$."
Math,Advanced Math,Nonlinear functions,Easy,"For the function $f$ defined by $f(x)=x^3-2$, what is the value of $f(-3)$?",$-29$,$-25$,$7$,$25$,A,,The function is defined as $f(x) = x^3 - 2$. We need to find the value of $f(-3)$.,Substitute $x = -3$ into the function: $f(-3) = (-3)^3 - 2$.,Evaluate the exponent: $(-3)^3 = (-3) \times (-3) \times (-3) = -27$.,The expression becomes $f(-3) = -27 - 2$.,"Perform the subtraction: $-27 - 2 = -29$. Therefore, $f(-3) = -29$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = \frac{50}{x}$. What is the value of $f(-10)$?,$-500$,$-5$,$5$,$40$,B,,The function is defined as $f(x) = \frac{50}{x}$. We need to find the value of $f(-10)$.,Substitute $x=-10$ into the function's definition: $f(-10) = \frac{50}{-10}$.,Perform the division: $50 \div -10 = -5$.,"Therefore, $f(-10) = -5$.",,
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(w) = w(w+2)$. What is the value of $f(6)$?,$14$,$38$,$48$,$68$,C,,The function is defined as $f(w) = w(w+2)$. We need to find the value of $f(6)$.,Substitute $w=6$ into the function: $f(6) = 6(6+2)$.,"First, evaluate the expression inside the parentheses: $6+2=8$.",The expression becomes $f(6) = 6(8)$.,"Perform the multiplication: $6 \times 8 = 48$. Therefore, $f(6)=48$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x)=10\sqrt{x}$. What is the value of $f(100)$?,$10$,$100$,$1000$,$10000$,B,,The function is defined as $f(x)=10\sqrt{x}$. We need to find the value of $f(100)$.,Substitute $x=100$ into the function: $f(100) = 10\sqrt{100}$.,Evaluate the square root: $\sqrt{100} = 10$.,The expression becomes $f(100) = 10(10)$.,"Perform the multiplication: $10 \times 10 = 100$. Therefore, $f(100) = 100$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x)=(x-1)^2+3$. What is the value of $f(5)$?,$7$,$11$,$19$,$27$,C,,The function is defined as $f(x) = (x-1)^2+3$. We need to find the value of $f(5)$.,Substitute $x=5$ into the function: $f(5) = (5-1)^2 + 3$.,Perform the subtraction inside the parentheses: $5-1=4$.,The expression becomes $f(5) = (4)^2 + 3$.,Evaluate the exponent: $4^2 = 16$.,"The expression is now $f(5) = 16 + 3$. Perform the addition: $16 + 3 = 19$. Therefore, $f(5)=19$."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 15 - x^2$. What is the value of $f(3)$?,$6$,$9$,$12$,$144$,A,,The function is defined as $f(x) = 15 - x^2$. We need to find the value of $f(3)$.,Substitute $x=3$ into the function's definition: $f(3) = 15 - (3)^2$.,Evaluate the exponent: $3^2 = 9$.,The expression becomes $f(3) = 15 - 9$.,"Perform the subtraction: $15 - 9 = 6$. Therefore, $f(3) = 6$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = 4x^3$. What is the value of $f(2)$?,$24$,$32$,$48$,$512$,B,,The function is defined as $f(x) = 4x^3$. We need to find the value of $f(2)$.,Substitute $x=2$ into the function: $f(2) = 4(2)^3$.,"According to the order of operations, evaluate the exponent first: $2^3 = 8$.",The expression becomes $f(2) = 4(8)$.,"Perform the multiplication: $4 \times 8 = 32$. Therefore, $f(2) = 32$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $p$ is defined by $p(x) = 4^x - 10$. What is the value of $p(3)$?,$2$,$14$,$54$,$64$,C,,The function is defined as $p(x) = 4^x - 10$. We need to find the value of $p(3)$.,Substitute $x=3$ into the function: $p(3) = 4^3 - 10$.,Evaluate the exponent: $4^3 = 4 \times 4 \times 4 = 64$.,The expression becomes $p(3) = 64 - 10$.,"Perform the subtraction: $64 - 10 = 54$. Therefore, $p(3) = 54$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = \frac{100}{x+5}$. What is the value of $f(15)$?,$3.33$,$4$,$5$,$20$,C,,The function is defined as $f(x) = \frac{100}{x+5}$. We need to find the value of $f(15)$.,Substitute $x=15$ into the function: $f(15) = \frac{100}{15+5}$.,Perform the addition in the denominator: $15+5=20$.,The expression becomes $f(15) = \frac{100}{20}$.,"Perform the division: $100 \div 20 = 5$. Therefore, $f(15)=5$.",
Math,Advanced Math,Nonlinear functions,Easy,The function $g$ is defined by $g(x) = 5+|x-10|$. What is the value of $g(2)$?,$-3$,$3$,$7$,$13$,D,,The function is defined as $g(x) = 5+|x-10|$. We need to find the value of $g(2)$.,Substitute $x=2$ into the function: $g(2) = 5+|2-10|$.,Perform the subtraction inside the absolute value bars: $2-10 = -8$.,The expression becomes $g(2) = 5+|-8|$.,Evaluate the absolute value: $|-8| = 8$.,"The expression is now $g(2) = 5+8$. Perform the addition: $5+8=13$. Therefore, $g(2)=13$."
Math,Advanced Math,Nonlinear functions,Easy,The function $f$ is defined by $f(x) = (x-1)^2$. For which of the following values of $x$ is $f(x)=49$?,$6$,$7$,$8$,$50$,C,,The function is defined as $f(x) = (x-1)^2$. We are given that $f(x) = 49$.,Set the expression for $f(x)$ equal to 49: $(x-1)^2 = 49$.,Take the square root of both sides: $\sqrt{(x-1)^2} = \pm\sqrt{49}$.,This simplifies to $x-1 = \pm 7$.,This gives two separate equations: $x-1 = 7$ or $x-1 = -7$.,"Solving both equations gives $x = 8$ and $x = -6$. Of the choices provided, only 8 is an option."
Math,Advanced Math,Nonlinear functions,Easy,The function $h$ is defined by $h(x) = \frac{24}{x}$. For which value of $x$ is $h(x)=6$?,$3$,$4$,$18$,$144$,B,,The function is defined as $h(x) = \frac{24}{x}$. We are given that $h(x) = 6$.,Set the expression for $h(x)$ equal to 6: $\frac{24}{x} = 6$.,"To solve for $x$, multiply both sides of the equation by $x$: $24 = 6x$.","To isolate $x$, divide both sides by 6: $\frac{24}{6} = x$.","Perform the division: $4 = x$. Therefore, the value of $x$ is 4.",
Math,Advanced Math,Nonlinear functions,Easy,The table shown includes some values for the function $g$. \\ \begin{tabular}{|c|c|} \hline $x$ & $g(x)$ \\ \hline 0 & 0 \\ \hline 1 & 1 \\ \hline 2 & 8 \\ \hline 3 & 27 \\ \hline \end{tabular} \\ Which of the following defines $g$?,$g(x) = 3x$,$g(x) = x^2$,$g(x) = x^3$,$g(x) = 3^x$,C,,We need to find the function definition that matches the input-output pairs in the table.,"Let's test the pair $(x=2, g(x)=8)$. 
Option A: $g(2) = 3(2) = 6 \neq 8$. Incorrect. 
Option B: $g(2) = 2^2 = 4 \neq 8$. Incorrect.","Test Option C: $g(2) = 2^3 = 8$. This works. 
Test Option D: $g(2) = 3^2 = 9 \neq 8$. Incorrect.","Only Option C works for the point $(2, 8)$.","Let's check the other points for Option C to be sure: $g(0) = 0^3 = 0$ (Correct), $g(1) = 1^3 = 1$ (Correct), and $g(3) = 3^3 = 27$ (Correct).",The function $g(x)=x^3$ matches all the values in the table.
Math,Advanced Math,Nonlinear functions,Easy,"For the function $f$ defined by $f(x)=7x^2 - 2x + 9$, what is the value of $f(0)$?",$0$,$7$,$9$,$14$,C,,The function is defined as $f(x)=7x^2 - 2x + 9$. We need to find the value of $f(0)$.,Substitute $x=0$ into the function's definition: $f(0) = 7(0)^2 - 2(0) + 9$.,Evaluate the terms with $x$: $7(0)^2 = 7(0) = 0$ and $2(0) = 0$.,The expression becomes $f(0) = 0 - 0 + 9$.,Simplify the expression: $f(0) = 9$.,"Note that for any polynomial, $f(0)$ is equal to the constant term."
