test,domain,skill,difficulty,question_text_latex,figure_description,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with tick marks at every integer unit and labels every 2 units. The y-axis is vertical, ranging from -2 to 8, with tick marks at every integer unit and labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 passes through the points (0, 1) and (3, 7). Line 2 passes through the points (0, 7) and (7, 0). The two lines intersect at the point (2, 5).",,,,,5,5,"The solution $(x,y)$ for the system is the point where the two lines intersect.",We locate this point of intersection on the given graph.,"The lines intersect at the point with coordinates $(2, 5)$.",The problem asks for the value of $y$.,"In the solution $(2, 5)$, the value of $y$ is 5.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -8 to 2, with tick marks at every integer unit and labels every 2 units. The y-axis is vertical, ranging from -8 to 4, with tick marks at every integer unit and labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 passes through the points (-3, 0) and (0, 3). Line 2 passes through the points (-7, 0) and (0, -7). The two lines intersect at the point (-5, -2).","$(-2, -5)$","$(-5, -2)$","$(0, 3)$","$(0, -7)$",B,,The solution to a system of linear equations is the point of intersection of the two lines.,We examine the graph to find the coordinates of this point.,The two lines cross at the point located in the third quadrant.,"The x-coordinate of this point is -5, and the y-coordinate is -2.","Thus, the solution is $(-5, -2)$, which is option B.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal and ranges from -4 to 6, with tick marks at every integer unit and numerical labels at -4, -2, 0, 2, 4, 6. The y-axis is vertical, ranging from -2 to 10, with tick marks at every integer unit and numerical labels at every 2 units (-2, 0, 2, 4, 6, 8, 10). Light gray grid lines form a square grid at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, 4) and (-2, 0). Line 2 passes through the points (0, 7) and (7, 0). The lines intersect at the point (1, 6).","$(0, 4)$","$(0, 7)$","$(1, 6)$","$(-2, 0)$",C,,"The solution to a system of linear equations is the point $(x,y)$ that satisfies both equations. Graphically, this is the point where the lines representing the equations intersect.","To find the solution, we need to locate the point of intersection on the provided graph.","Observing the graph, the two lines cross at the point where the x-coordinate is 1 and the y-coordinate is 6.","Therefore, the solution to the system of linear equations is $(1, 6)$.","Comparing this to the options, the correct choice is C.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -8 to 2, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -2 to 8, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (-8, 5) and (0, 1). Line 2 passes through (-7, 0) and (1, 4). The lines intersect at (-6, 3).","$(-8, 5)$","$(-6, 3)$","$(0, 1)$","$(-7, 0)$",B,,The solution to a system of equations from a graph is the point where the lines intersect.,We must identify the coordinates of this intersection point.,"Looking at the graph, the two lines intersect at the point with an x-coordinate of -6 and a y-coordinate of 3.","Therefore, the solution to the system is $(-6, 3)$.",This matches option B.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -8 to 2, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (2, -2) and (6, -6). Line 2 passes through (0, -8) and (8, 0). The lines intersect at (4, -4).","$(4, -4)$","$(-4, 4)$","$(8, 0)$","$(0, -8)$",A,,The solution to a system of linear equations is the point of intersection of the two lines.,We examine the graph to find the coordinates of the point where the two lines cross.,The intersection occurs in the fourth quadrant at the point where $x=4$ and $y=-4$.,"The solution is the ordered pair $(4, -4)$.",This corresponds to option A.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -6 to 4, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -6 to 4, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line at $y = -3$. Line 2 passes through (0, -1) and (-1, -2). The lines intersect at (-2, -3).","$(-3, -2)$","$(0, -1)$","$(-2, -3)$","$(-3, 0)$",C,,The graphical solution to a system of linear equations is the point where the lines intersect.,We need to find the coordinates of this intersection point from the graph.,The horizontal line is at $y=-3$. The other line crosses it at an x-value of -2.,"So, the point of intersection is $(-2, -3)$.","The solution to the system is $(-2, -3)$, which is option C.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal and ranges from -2 to 8, with tick marks at every integer unit and numerical labels at every 2 units. The y-axis is vertical, ranging from -6 to 4, with tick marks at every integer unit and numerical labels at every 2 units. Light gray grid lines form a square grid at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line passing through $y = -1$. Line 2 is a line with a slope of 1, passing through the points (0, -4) and (4, 0). The lines intersect at the point (3, -1).",,,,,3,3,"The solution to a system of linear equations is the point of intersection $(x,y)$ of the graphed lines.","By examining the graph, we can identify the coordinates of the point where the two lines cross.","The intersection point is located at $(3, -1)$. This means the solution is $x=3$ and $y=-1$.","The question asks for the value of $x$ in the solution $(x, y)$.","Therefore, the value of $x$ is 3.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal and ranges from -6 to 4, with integer tick marks and labels every 2 units. The y-axis is vertical and ranges from -2 to 8, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (-3, 7) and (1, 1). Line 2 passes through (-3, 1) and (1, 7). The lines intersect at (-1, 4).",,,,,4,4,"The solution $(x,y)$ of the system is the point of intersection of the two lines.",We locate this point on the provided graph.,"The two lines intersect at the point $(-1, 4)$.",The question asks for the value of $y$.,"From the solution point $(-1, 4)$, the y-value is 4.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -6 to 6, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -8 to 2, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (-2, -1) and (2, -9). Line 2 passes through (-4, -7) and (2, -4). The lines intersect at (0, -5).","$(0, -5)$","$(-5, 0)$","$(2, -4)$","$(-2, -1)$",A,,The solution to a system of linear equations is represented by the point of intersection of the two lines on the graph.,"By examining the graph, we find the point where the two lines cross.",The lines intersect on the y-axis at the point where the x-coordinate is 0 and the y-coordinate is -5.,"Therefore, the solution to the system is $(0, -5)$.",This matches option A.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from 0 to 10, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -4 to 6, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (5, -2) and (8, 1). Line 2 passes through (3, 4) and (9, -2). The lines intersect at (7, 0).","$(0, 7)$","$(8, 1)$","$(7, 0)$","$(3, 4)$",C,,The solution to a system of linear equations is the point where the graphs of the two equations intersect.,We need to find the coordinates of this intersection point from the graph.,The graph shows that the two lines intersect on the x-axis.,"The coordinates of this point are $(7, 0)$.","Therefore, the solution to the system is $(7, 0)$, which corresponds to option C.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -2 to 8, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (3, 2) and (7, 8). Line 2 passes through (2, 8) and (8, 2). The lines intersect at (5, 5).",,,,,5,5,"The solution $(x,y)$ to the system of equations is the point where the two lines intersect on the graph.","By observing the graph, we locate the point of intersection.","The two lines intersect at the point $(5, 5)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is 5.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -8 to 2, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -10 to 2, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a vertical line at $x=-3$. Line 2 passes through (0, 0) and (-1, -2). The lines intersect at (-3, -6).",,,,,-6,-6,The solution to a system of linear equations is the point of intersection of the graphed lines.,We must find the coordinates of the point where the vertical line and the slanted line cross.,"Reading from the graph, the intersection occurs at the point $(-3, -6)$.","The question asks for the value of $y$ from the solution $(x,y)$.","Therefore, the value of $y$ is -6.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -4 to 6, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -8 to 2, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (0, -2) and (4, -10). Line 2 passes through (1, -4) and (4, -10). The lines intersect at (2, -6). Wait, second line definition is wrong. Let's redefine. L2 passes through (0, -12) and (3, -8). No, that's too complex. Let's make L2 pass through (1,-4) and (2,-6). Wait, that's the same line as L1. Let me start over. Sol (2, -6). L1: y=-2x-2. Pts (0,-2), (2, -6). L2: y=x-8. Pts: (0,-8), (2,-6). This is better. Figure description: ... Line 1 passes through (0, -2) and (-1, 0). Line 2 passes through (0, -8) and (8, 0). The lines intersect at (2, -6).","$(-6, 2)$","$(0, -2)$","$(0, -8)$","$(2, -6)$",D,,"The solution to a system of linear equations, when graphed, is the point of intersection of the lines.",We must identify the coordinates of this point from the provided graph.,The two lines are shown to cross at a point in the fourth quadrant.,"The coordinates of the intersection point are $(2, -6)$.",This corresponds to option D.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from -10 to 2, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -4 to 6, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 is a horizontal line at $y=1$. Line 2 passes through (-9, -1) and (-5, 3). The lines intersect at (-7, 1).","$(-9, -1)$","$(-7, 1)$","$(1, -7)$","$(-5, 3)$",B,,"The solution to a system of two linear equations is the point $(x,y)$ that lies on both lines.","On a graph, this solution is the point where the two lines intersect.","By locating the intersection point on the graph, we can determine its coordinates.",The lines intersect at the point with an x-coordinate of -7 and a y-coordinate of 1.,"Therefore, the solution to the system is $(-7, 1)$, which is option B.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane with origin labeled 'O'. The x-axis is horizontal, ranging from 0 to 12, with integer tick marks and labels every 2 units. The y-axis is vertical, ranging from -2 to 8, with integer tick marks and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through (4, -1) and (10, 5). Line 2 passes through (6, 4) and (10, 0). The lines intersect at (8, 2).",,,,,8,8,"The solution to a system of linear equations is the point $(x, y)$ at which the two lines intersect.",We must find this point of intersection on the given graph.,"The graph shows that the two lines intersect at the point $(8, 2)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is 8.,"Therefore, the value of $x$ is 8."
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -2 to 8, with tick marks at every integer unit. Numerical labels appear every 2 units (0, 2, 4, 6, 8). The y-axis is vertical and ranges from -2 to 8, with tick marks at every integer unit. Numerical labels appear every 2 units (0, 2, 4, 6, 8). A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a line with a positive slope of 2, passing through the points (0, 1) and (1, 3). Line 2 is a line with a negative slope of -1, passing through the points (0, 4) and (1, 3). The two lines intersect at the point (1, 3).","$(0, 1)$","$(0, 4)$","$(1, 3)$","$(3, 1)$",C,,The solution to a system of linear equations corresponds to the point of intersection of their graphs.,"To find the solution, we must identify the coordinates of the point where the two lines on the graph cross.","By observing the graph, we can see that the two lines intersect at the point where the x-coordinate is 1 and the y-coordinate is 3.","Thus, the solution to the system is the ordered pair $(1, 3)$.","Comparing our result with the given options, we find that option C matches the solution.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $y$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal and ranges from -8 to 2, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical and ranges from -2 to 8, with tick marks at every integer unit and numerical labels every 2 units. A square grid is formed by light gray lines at every integer unit on both axes. Two solid black lines are graphed. Line 1 is a vertical line passing through $x = -3$. Line 2 is a horizontal line passing through $y = 2$. The two lines intersect at the point (-3, 2).",,,,,2,2,The solution to a system of linear equations is the point of intersection of the graphed lines.,We must find the coordinates of the point where the vertical line and the horizontal line cross on the graph.,"The graph shows that the lines intersect at the point $(-3, 2)$.","The question asks for the value of $y$ from the solution $(x, y)$.",The y-coordinate of the intersection point is 2.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -6 to 4, with tick marks at every integer unit and labels every 2 units. The y-axis is vertical, ranging from -6 to 4, with tick marks at every integer unit and labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, -2) and (-2, -4). Line 2 passes through the points (0, -8) and (-2, -4). The two lines intersect at the point (-2, -4).","$(-4, -2)$","$(-2, -4)$","$(0, -2)$","$(0, -8)$",B,,"The solution to a system of linear equations is the point $(x,y)$ that lies on both lines.","Graphically, this solution is the point where the two lines intersect.","Locating the intersection point on the provided graph, we find its x-coordinate is -2 and its y-coordinate is -4.","Therefore, the solution to the system is $(-2, -4)$.",This corresponds to option B.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. The solution to the system is $(x, y)$. What is the value of $x$?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -2 to 8, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical, ranging from -6 to 4, with tick marks at every integer unit and numerical labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, 1) and (4, -1). Line 2 passes through the points (0, -5) and (4, -1). The two lines intersect at the point (4, -1).",,,,,4,4,"The solution $(x,y)$ to the system of equations is the point of intersection of the two graphed lines.","By examining the graph, we locate the point where the two lines cross.","The intersection point has coordinates $(4, -1)$.","The question asks for the value of $x$ from the solution $(x,y)$.",The x-coordinate of the intersection point is 4.,
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -4 to 6, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical, ranging from -4 to 6, with tick marks at every integer unit and numerical labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (0, -2) and (2, 0). Line 2 passes through the points (0, 4) and (2, 0). The two lines intersect on the x-axis at the point (2, 0).","$(0, -2)$","$(0, 4)$","$(2, 2)$","$(2, 0)$",D,,"The solution of a system of linear equations is the point $(x, y)$ where the graphed lines intersect.",We need to find the coordinates of this intersection point from the graph.,The graph shows that the two lines intersect on the x-axis.,"The coordinates of this point are (2, 0), where the x-coordinate is 2 and the y-coordinate is 0.","Therefore, the solution to the system is $(2, 0)$, which corresponds to option D.",
Math,Algebra,Systems of two linear equations in two variables,Easy,"The graph of a system of linear equations is shown. What is the solution $(x,y)$ to the system?","Graph of a system of 2 lines in an x-y plane. The origin is labeled 'O'. The x-axis is horizontal, ranging from -4 to 4, with tick marks at every integer unit and numerical labels every 2 units. The y-axis is vertical, ranging from -6 to 4, with tick marks at every integer unit and numerical labels every 2 units. A light gray grid is drawn at every integer unit. Two solid black lines are graphed. Line 1 passes through the points (-2, 1) and (0, -3). Line 2 passes through the points (2, -1) and (0, -3). The two lines intersect on the y-axis at the point (0, -3).","$(0, -3)$","$(-3, 0)$","$(-2, 1)$","$(2, -1)$",A,,The solution to a system of linear equations is the point of intersection of their graphs.,We need to identify the coordinates of the point where the two lines cross.,"Looking at the graph, the two lines intersect on the y-axis.","The coordinates of this intersection point are $(0, -3)$.","Therefore, the solution to the system is $(0, -3)$, which corresponds to option A.",
