test,domain,skill,difficulty,question_text_latex,figure_description,option_A_latex,option_B_latex,option_C_latex,option_D_latex,correct_answer,correct_answer_spr_latex,step_1,step_2,step_3,step_4,step_5,step_6
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, line $r$ is parallel to line $s$. What is the value of $w$?","A 2D diagram has two parallel horizontal lines, 'r' (top) and 's' (bottom). A transversal line intersects them, oriented from top-right to bottom-left. At the intersection with line 'r', the upper-left angle (an exterior angle) is labeled $62^{\circ}$. At the intersection with line 's', the lower-right angle (also an exterior angle) is labeled $w^{\circ}$. These two angles are on opposite sides of the transversal.",$28$,$62$,$118$,$124$,B,,The figure shows parallel lines $r$ and $s$ intersected by a transversal.,The angles labeled $62^{\circ}$ and $w^{\circ}$ are both in the exterior region relative to the parallel lines and are on opposite sides of the transversal.,These are called alternate exterior angles.,A property of parallel lines is that alternate exterior angles are equal in measure.,"Therefore, the value of $w$ must be equal to 62.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,An equilateral triangle has one side of length 10. What is the measure of one of its interior angles?,"A 2D diagram of an equilateral triangle. All three sides have a single tick mark to indicate they are equal in length. One side is labeled with the number 10. All three interior angles have an arc mark, but no angle measures are given.",$30^{\circ}$,$60^{\circ}$,$90^{\circ}$,$180^{\circ}$,B,,The problem asks for the measure of an interior angle of an equilateral triangle.,An equilateral triangle is a triangle in which all three sides are equal in length. A key property of an equilateral triangle is that all three of its interior angles are also equal in measure.,The sum of the interior angles of any triangle is $180^{\circ}$.,"Let $x$ be the measure of one interior angle. Since all three angles are equal, their sum is $x + x + x = 3x$.",We can set up the equation $3x = 180^{\circ}$.,Solving for $x$ by dividing by 3 gives $x = 60^{\circ}$. The side length of 10 is extra information not needed to solve for the angle measure.
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, what is the value of $x+y$?","A 2D diagram shows two intersecting lines, creating four angles around the intersection point. The top angle is labeled $x^{\circ}$. The angle to the right is labeled $y^{\circ}$. The bottom angle is labeled $120^{\circ}$. The angle to the left is not labeled.",$60$,$120$,$180$,$240$,C,,The figure shows four angles formed by two intersecting lines. We need to find the value of the expression $x+y$.,"The angle labeled $x^{\circ}$ and the angle labeled $120^{\circ}$ are vertical angles. Therefore, they are equal. So, $x = 120$.",The angle labeled $y^{\circ}$ and the angle labeled $x^{\circ}$ are adjacent angles that form a straight line. They are a linear pair and are supplementary.,"This means their sum is $180^{\circ}$. So, $x + y = 180$.","The question asks for the value of $x+y$ directly. Based on step 4, the value is 180.","Alternatively, we could solve for $y$: $y = 180 - x = 180 - 120 = 60$. Then calculate $x+y = 120 + 60 = 180$."
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, a transversal intersects two parallel lines. What is the value of $x$?","A 2D diagram shows two parallel vertical lines. A horizontal transversal line intersects both of them. At the left intersection, the top right angle is marked as $90^{\circ}$ with a square symbol. At the right intersection, the top left angle is marked as $x^{\circ}$.",,,,,90,90,The figure shows two parallel vertical lines intersected by a horizontal transversal.,"The angle marked with a square symbol is a right angle, which measures $90^{\circ}$.",The angle marked $x^{\circ}$ and the $90^{\circ}$ angle are alternate interior angles.,"Because the lines are parallel, alternate interior angles are equal in measure.","Therefore, $x = 90$.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the triangle shown, what is the value of $z$?","A 2D diagram of a triangle. The bottom side of the triangle is extended to the right, creating an exterior angle. The interior angle at the leftmost vertex is labeled $50^{\circ}$. The interior angle at the top vertex is labeled $80^{\circ}$. The exterior angle at the bottom-right vertex is labeled $z^{\circ}$.",$50^{\circ}$,$80^{\circ}$,$130^{\circ}$,$180^{\circ}$,C,,"The problem asks for the measure of an exterior angle, $z$, of a triangle.",The Exterior Angle Theorem states that the measure of an exterior angle of a triangle is equal to the sum of the measures of its two remote interior angles.,The remote interior angles are the two interior angles that are not adjacent to the exterior angle.,"In this figure, the remote interior angles relative to $z$ are $50^{\circ}$ and $80^{\circ}$.","According to the theorem, $z = 50 + 80$.",Calculating the sum gives $z = 130^{\circ}$.
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"Two angles are complementary. If one angle measures $25^{\circ}$, what is the measure of the other angle?",There is no figure for this question. The question is purely text-based.,$25^{\circ}$,$65^{\circ}$,$155^{\circ}$,$335^{\circ}$,B,,The problem defines two angles as complementary.,"By definition, complementary angles are two angles whose measures add up to $90^{\circ}$.",Let the measure of the unknown angle be $x$.,"We are given that one angle is $25^{\circ}$. So, we can write the equation $x + 25^{\circ} = 90^{\circ}$.","To solve for $x$, subtract $25^{\circ}$ from both sides: $x = 90^{\circ} - 25^{\circ} = 65^{\circ}$.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, lines $a$ and $b$ are parallel. What is the value of $x$?","A 2D diagram shows two parallel horizontal lines, 'a' (top) and 'b' (bottom). A transversal cuts through them from top-left to bottom-right. At the intersection with line 'a', the upper-right angle is marked as $132^{\circ}$. At the intersection with line 'b', the lower-left angle is marked as $x^{\circ}$.",,,,,132,132,"The figure shows two parallel lines, $a$ and $b$, intersected by a transversal.",The angle labeled $132^{\circ}$ is in the top-right position. The angle labeled $x^{\circ}$ is in the bottom-left position.,These angles are alternate exterior angles.,"A theorem states that when parallel lines are cut by a transversal, alternate exterior angles are congruent (equal in measure).","Therefore, $x = 132$.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the right triangle, one acute angle is twice the measure of the other acute angle. What is the measure of the smaller acute angle?","A 2D diagram of a right-angled triangle. The right angle is at the bottom-left vertex, marked with a square. The other two angles are at the top and bottom-right vertices. The top angle is labeled '2x' and the bottom-right angle is labeled 'x'.",$30^{\circ}$,$45^{\circ}$,$60^{\circ}$,$90^{\circ}$,A,,"In a right-angled triangle, one angle is $90^{\circ}$. The other two angles are acute and must sum to $90^{\circ}$ (since the total sum is $180^{\circ}$).","Let the smaller acute angle be $x$. The problem states the other acute angle is twice its measure, so it is $2x$.",The sum of these two acute angles is $90^{\circ}$. We can write the equation: $x + 2x = 90^{\circ}$.,Combine the terms with $x$: $3x = 90^{\circ}$.,Solve for $x$ by dividing both sides by 3: $x = 30^{\circ}$.,"The question asks for the measure of the smaller acute angle, which is $x$. So the answer is $30^{\circ}$. The larger acute angle would be $2x = 60^{\circ}$."
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,What is the sum of the measures of the interior angles of a triangle?,A generic 2D diagram of a scalene triangle with its three interior angles highlighted with simple arcs. No values or labels are provided on the triangle. The figure serves as a visual reference for the term 'triangle'.,$90^{\circ}$,$180^{\circ}$,$270^{\circ}$,$360^{\circ}$,B,,The question asks for a fundamental property of triangles.,The Triangle Angle-Sum Theorem is a core theorem in Euclidean geometry.,This theorem states that the sum of the measures of the three interior angles of any triangle is always $180^{\circ}$.,"Therefore, the correct answer is $180^{\circ}$.",,
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure provided, line $m$ is parallel to line $n$. What is the value of $a+b$?","A 2D diagram shows two parallel horizontal lines, $m$ (top) and $n$ (bottom). A transversal line intersects them, oriented from top-left to bottom-right. At the intersection with line $m$, the two interior angles (bottom-left and bottom-right of intersection) are labeled $a^{\circ}$ and $b^{\circ}$ respectively.",$90$,$120$,$180$,$360$,C,,The figure shows angles $a$ and $b$ are adjacent angles at the intersection of line $m$ and the transversal.,"The bottom edge of these two angles is the transversal line itself, which is a straight line.",Angles $a$ and $b$ together form a straight angle. Angles that form a straight line are supplementary.,Supplementary angles add up to $180^{\circ}$.,"Therefore, $a+b=180$. The information that lines $m$ and $n$ are parallel is extra information not needed to solve the problem.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"Two angles are supplementary. If one angle measures $115^{\circ}$, what is the measure of the other angle?",There is no figure for this question. The question is purely text-based.,,,,,65,65,The problem states that two angles are supplementary.,"By definition, supplementary angles are two angles whose measures add up to $180^{\circ}$.",Let the measure of the unknown angle be $x$.,We are given that one angle measures $115^{\circ}$. This allows us to set up the equation: $x + 115^{\circ} = 180^{\circ}$.,"To find $x$, subtract $115^{\circ}$ from both sides of the equation.",$x = 180^{\circ} - 115^{\circ} = 65^{\circ}$. So the measure of the other angle is 65.
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, two lines intersect. What is the value of $x$?","A 2D diagram shows two lines intersecting. One line is horizontal. The other line intersects it, running from top-right to bottom-left. The angle above the horizontal line and to the left of the other line is labeled $x^{\circ}$. The angle below the horizontal line and to the left of the other line is labeled $55^{\circ}$.",$35$,$55$,$125$,$135$,C,,"The figure shows two angles, $x^{\circ}$ and $55^{\circ}$, which are adjacent angles.","These two angles lie along one of the intersecting lines, forming a straight angle.","Angles that form a straight line are a linear pair and are supplementary, meaning their sum is $180^{\circ}$.",We can write the equation: $x + 55 = 180$.,"To solve for $x$, subtract 55 from both sides: $x = 180 - 55 = 125$.",
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In triangle FGH, $m\angle F = 22^{\circ}$ and $m\angle G = 98^{\circ}$. What is $m\angle H$?",A 2D diagram of an obtuse triangle labeled FGH. Angle F is at the bottom left and is marked with an arc labeled $22^{\circ}$. Angle G is the obtuse angle at the top and is marked with an arc labeled $98^{\circ}$. Angle H is at the bottom right and is marked with an arc but no value given.,,,,,60,60,The problem asks for the measure of the third angle of a triangle when two angles are known.,The sum of the measures of the interior angles of any triangle is always $180^{\circ}$.,Let the measure of angle H be $h$. We can set up the equation: $m\angle F + m\angle G + m\angle H = 180^{\circ}$.,Substitute the known values: $22^{\circ} + 98^{\circ} + h = 180^{\circ}$.,Add the known angles: $120^{\circ} + h = 180^{\circ}$.,Subtract $120^{\circ}$ from both sides to find $h$: $h = 180^{\circ} - 120^{\circ} = 60^{\circ}$.
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,Lines $l$ and $m$ are parallel. What is the value of $x$?,"A 2D diagram shows two parallel horizontal lines, $l$ (top) and $m$ (bottom). A transversal line intersects them from top-right to bottom-left. At the intersection with line $l$, the interior angle on the left side of the transversal is marked $48^{\circ}$. At the intersection with line $m$, the corresponding angle (interior, left side) is marked $x^{\circ}$.",$42$,$48$,$132$,$138$,B,,"The problem shows parallel lines $l$ and $m$ with a transversal. The angle at the top intersection is given, and we need to find angle $x$ at the bottom intersection.","Wait, let me re-examine the image description. The angle at the intersection with line l, the interior angle on the left side of the transversal is marked 48 degrees. At the intersection with line m, the interior angle on the right side of the transversal is marked x degrees. (CORRECTION: let me change the figure description to match the intended problem) Okay, new figure description: A 2D diagram shows two parallel horizontal lines, $l$ (top) and $m$ (bottom). A transversal line intersects them from top-right to bottom-left. At the intersection with line $l$, the interior angle on the left side of the transversal is marked $48^{\circ}$. At the intersection with line $m$, the interior angle on the RIGHT side of the transversal is marked $x^{\circ}$.","These two angles, $48^{\circ}$ and $x^{\circ}$, are on the same side of the transversal and in the interior region. They are consecutive interior angles.","For parallel lines, consecutive interior angles are supplementary, meaning they add up to $180^{\circ}$.","So, we have the equation $x + 48 = 180$.","Solving for $x$, we subtract 48 from 180: $x = 180 - 48 = 132$."
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,The angles of a triangle are in the ratio 1:2:3. What is the measure of the smallest angle?,"A 2D diagram shows a triangle whose angles are labeled $x$, $2x$, and $3x$. The angle labeled $3x$ is the largest, and the angle labeled $x$ is the smallest. The shape appears to be a right triangle, as $x+2x+3x=6x=180$, so $x=30$, and the angles are 30, 60, 90.",$30^{\circ}$,$60^{\circ}$,$90^{\circ}$,$180^{\circ}$,A,,"Let the three angles of the triangle be $A$, $B$, and $C$. The ratio of their measures is given as 1:2:3.","We can represent the measures of the angles as $1x$, $2x$, and $3x$ for some constant $x$.",The sum of the angles in a triangle is always $180^{\circ}$.,Set up the equation: $x + 2x + 3x = 180^{\circ}$.,Combine the terms: $6x = 180^{\circ}$.,Solve for $x$ by dividing by 6: $x = 30^{\circ}$. This is the measure of the smallest angle (the $1x$ part of the ratio).
Math,Geometry and Trigonometry,"Lines, angles, and triangles",Easy,"In the figure, lines $j$ and $k$ are parallel and are intersected by line $t$. What is the value of $x$?","A 2D diagram with two parallel horizontal lines, $j$ (top) and $k$ (bottom). A transversal line $t$ cuts through them from top-left to bottom-right. At the intersection with line $j$, the top-left angle (exterior) is labeled $x^{\circ}$. At the intersection with line $k$, the bottom-right angle (exterior) is labeled $150^{\circ}$.",,,,,30,30,"The figure shows two parallel lines, $j$ and $k$, and a transversal, $t$. Angle $x$ is an exterior angle and the $150^{\circ}$ angle is also an exterior angle.","The exterior angle $150^{\circ}$ and its adjacent interior angle on the straight line $t$ sum to $180^{\circ}$. Let's call this interior angle $y$. So $y+150=180$, which means $y=30^{\circ}$.",This interior angle $y$ (bottom-left interior) and the angle $x$ (top-left exterior) are consecutive exterior/interior angles.,"Alternatively, let's find the angle vertically opposite to the $150^{\circ}$ angle. This interior angle is also $150^{\circ}$. This angle and angle $x$ are consecutive interior angles, which are supplementary. No, that's not right.","Let's use a simpler relationship. The angle $x$ and the interior angle at the same intersection (top-left interior) are supplementary. Let's call the top-left interior angle $z$. The angle $z$ and the bottom-right exterior angle ($150^{\circ}$) are supplementary because they are consecutive exterior angles. Oh, that's too complex for easy. Let's use simpler relations.","Correct Approach: The exterior angle $150^{\circ}$ (bottom-right) and the interior angle at the same vertex (bottom-right) are a linear pair. Let's call the interior angle $A$. $A=180-150=30^{\circ}$. This angle $A$ and the angle $x$ are alternate exterior and alternate interior, not directly related. Let's find the angle corresponding to angle $x$. The top-left interior angle corresponds to angle $x$'s position. Let's call the bottom-left exterior angle $B$. By corresponding angles, $x=B$. $B$ and the $150^{\circ}$ angle are a linear pair on line $k$. So $B+150=180$, which gives $B=30$. Therefore, $x=30$."
